time_s,v_mph,v_veh_m_per_s,accel_m_per_s,delta_distance_km,total_distance_km,brake_force_n,power_demand_drag_kw,power_demand_rolling_resistance_kw,power_demand_acceleration_kw,power_demand_accessories_kw,power_demand_vehicle_kw,total_vehicle_energy_mj,average_e_veh_over_vkt_mj_per_km,eta,instant_fuel_req_kw,total_fuel_energy_mj,fuel_consumption_liters,fuel_efficiency_km_per_l,avg_fuel_mj_per_km
1674,45.0,20.116799999999998,-0.4917440000000042,0.020362672,15.906219647999981,1379.1511204649673,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.646346236732196,0.8579251725879482,0.016428695165765086,52.17352008143734,128.8099026440443,3.7663714223404767,4.2232212026809695,8.098083988186385
1675,43.8,19.580352,-0.5364479999999965,0.019848576,15.92606822399998,1504.3810618591442,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.647203379589339,0.8569097650243342,0.016428695165765086,52.17352008143734,128.86207616412574,3.7678969638633255,4.22677912287457,8.09126737068321
1676,42.6,19.043904,-0.536448,0.019312128,15.94538035199998,1495.739058891349,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.648060522446482,0.855925680113027,0.016428695165765086,52.17352008143734,128.91424968420716,3.769422505386174,4.230191847482057,8.08473970757542
1677,41.5,18.55216,-0.4917440000000006,0.018798032,15.964178383999979,1353.916105047295,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.648917665303625,0.8549715078969041,0.016428695165765086,52.17352008143734,128.9664232042886,3.7709480469090226,4.233465480142461,8.078487981163162
1678,40.3,18.015712,-0.536448,0.018283936,15.982462319999978,1479.8462087189773,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.649774808160767,0.8540470507526143,0.016428695165765086,52.17352008143734,129.01859672437,3.7724735884318714,4.236600189596957,8.072510614520265
1679,38.5,17.21104,-0.804672,0.017613376000000004,16.00007569599998,2272.695468547743,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.65063195101791,0.8531604606364813,0.016428695165765086,52.17352008143734,129.07077024445144,3.77399912995472,4.239554685904749,8.066884975845404
1680,37.0,16.540480000000002,-0.6705599999999983,0.01687576,16.01695145599998,1860.9197806995126,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.651489093875053,0.8523150695297376,0.016428695165765086,52.17352008143734,129.12294376453286,3.775524671477569,4.242311426806721,8.061642948675054
1681,35.2,15.735808,-0.8046720000000018,0.016138144,16.03308959999998,2252.4232700350167,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.652346236732196,0.8515106306604944,0.016428695165765086,52.17352008143734,129.1751172846143,3.7770502130004173,4.244870651921674,8.056782598197072
1682,33.8,15.109952,-0.6258560000000006,0.01542288,16.048512479999978,1707.9234038439442,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.653203379589339,0.8507457246647795,0.016428695165765086,52.17352008143734,129.2272908046957,3.778575754523266,4.247238515937807,8.052290887753099
1683,32.5,14.5288,-0.5811519999999994,0.014819376,16.063331855999976,1566.6272387610397,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.654060522446482,0.8500142215107395,0.016428695165765086,52.17352008143734,129.27946432477714,3.780101296046115,4.249444815884112,8.048110160688031
1684,31.5,14.081760000000001,-0.44703999999999944,0.01430528,16.077637135999975,1158.9566690278264,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.654917665303625,0.8493112233966545,0.016428695165765086,52.17352008143734,129.33163784485856,3.7816268375689637,4.251513390024374,8.044194352120796
1685,30.6,13.679424000000001,-0.402336,0.013880592,16.091517727999975,1020.1860893029952,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.655774808160768,0.8486318717095962,0.016428695165765086,52.17352008143734,129.38381136494,3.783152379091812,4.253468038171627,8.040497705185773
1686,30.5,13.63472,-0.04470400000000119,0.013657072,16.105174799999975,0.0,1.0572198898390428,3.6114282864000002,-1.8285795686400483,0.8571428571428572,3.697211464741852,13.65805198532171,0.848053632135786,0.06181453181601322,59.81136402919547,129.43980380699531,3.7847895849998627,4.255236503458239,8.037156095132573
1687,30.0,13.4112,-0.2235200000000006,0.013522959999999999,16.118697759999975,480.70738687331516,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.660329162482654,0.8474834236536163,0.016428695165765086,52.17352008143734,129.49579624905064,3.786426790907913,4.256968020273018,8.033886991193937
1688,29.0,12.964160000000001,-0.44703999999999766,0.01318768,16.131885439999976,1146.3495804005001,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.661186305339797,0.8468437465757144,0.016428695165765086,52.17352008143734,129.54796976913207,3.787952332430762,4.25873506957465,8.030553542607619
1689,27.5,12.2936,-0.6705600000000018,0.01262888,16.144514319999978,1809.8454431366092,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.66204344819694,0.8462344036743348,0.016428695165765086,52.17352008143734,129.6001432892135,3.7894778739536106,4.2603532351954865,8.027503381050218
1690,24.8,11.086592000000001,-1.2070079999999983,0.011690096,16.156204415999976,3407.419215136176,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.662900591054083,0.8456751498837994,0.016428695165765086,52.17352008143734,129.65231680929492,3.7910034154764594,4.261722463779273,8.024924262588328
1691,21.5,9.61136,-1.4752320000000019,0.010348976000000001,16.166553391999976,4199.35576342466,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.663757733911226,0.845186812711282,0.016428695165765086,52.17352008143734,129.70449032937634,3.7925289569993077,4.262736969262626,8.023014379401403
1692,20.1,8.985504,-0.6258559999999989,0.009298432,16.175851823999977,1646.373304967427,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.664614876768368,0.844753959509835,0.016428695165765086,52.17352008143734,129.75666384945777,3.7940544985221565,4.263473766731797,8.021627872291639
1693,19.1,8.538464000000001,-0.44703999999999944,0.008761984000000002,16.184613807999977,1106.6578810058356,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.665472019625511,0.8443495891678758,0.016428695165765086,52.17352008143734,129.8088373695392,3.7955800400450053,4.264068637005497,8.020508793689924
1694,18.5,8.270240000000001,-0.268224,0.008404352,16.193018159999976,568.3294451748795,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.666329162482654,0.8439642954419236,0.016428695165765086,52.17352008143734,129.86101088962062,3.797105581567854,4.264568843859684,8.01956803892208
1695,17.0,7.59968,-0.6705600000000009,0.00793496,16.200953119999976,1770.8989164515447,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.667186305339797,0.8436038425707029,0.016428695165765086,52.17352008143734,129.91318440970204,3.798631123090703,4.2649450802209765,8.018860584771708
1696,15.5,6.92912,-0.67056,0.0072644,16.208217519999977,1766.8354746625707,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.66804344819694,0.8432786289628325,0.016428695165765086,52.17352008143734,129.96535792978347,3.800156664613551,4.265144558625253,8.018485547187034
1697,12.5,5.588,-1.34112,0.00625856,16.214476079999976,3771.5138518877284,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.668900591054083,0.84300599807318,0.016428695165765086,52.17352008143734,130.0175314498649,3.8016822061364,4.265079299323795,8.018608236761795
1698,10.8,4.828032000000001,-0.7599679999999989,0.005208016000000001,16.219684095999977,2024.7562533387782,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.669757733911226,0.8427881611629168,0.016428695165765086,52.17352008143734,130.06970496994632,3.8032077476592487,4.264737866602914,8.019250202414455
1699,8.0,3.57632,-1.2517120000000013,0.004202176,16.223886271999977,3495.600569733217,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.670614876768369,0.8426227013414057,0.016428695165765086,52.17352008143734,130.12187849002774,3.8047332891820975,4.264132342240373,8.020388968985737
1700,4.7,2.1010880000000003,-1.4752319999999997,0.002838704,16.226724975999975,4162.667260084479,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.671472019625512,0.8425281157994733,0.016428695165765086,52.17352008143734,130.17405201010916,3.806258830704946,4.263169084850352,8.02220116521616
1701,1.4,0.625856,-1.4752320000000003,0.0013634720000000003,16.228088447999976,4160.98937119808,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.672329162482654,0.8425101456830977,0.016428695165765086,52.17352008143734,130.2262255301906,3.8077843722277946,4.261819173995275,8.024742159095162
1702,0.0,0.0,-0.625856,0.00031292799999999997,16.228401375999976,1612.6979999999999,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.673186305339797,0.8425467172361746,0.016428695165765086,52.17352008143734,130.27839905027201,3.8093099137506434,4.260194561072482,8.027802371399284
1703,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.67404344819694,0.8425995346910355,0.016428695165765086,52.17352008143734,130.33057257035344,3.810835455273492,4.258489133542322,8.031017322698096
1704,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.674900591054083,0.8426523521458965,0.016428695165765086,52.17352008143734,130.38274609043486,3.8123609967963406,4.256785070888425,8.03423227399691
1705,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.675757733911226,0.8427051696007575,0.016428695165765086,52.17352008143734,130.4349196105163,3.8138865383191893,4.25508237147295,8.037447225295722
1706,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.676614876768369,0.8427579870556184,0.016428695165765086,52.17352008143734,130.4870931305977,3.815412079842038,4.2533810336606805,8.040662176594536
